hpAfrica1,#006444
hpAfrica2,#460000
hpAsia2,#FFD966
hpAsia2_Eco,#FFD966
hpEurope,#D11FAE
hpNEAfrica,#C1D2D1
hpNorthAsia,#521E1B
hpSahul,#58dbff
hpSiberia,#046C9A
hspAfrica1LatinAmerica,#E59FC3
hspAfrica1SAfrica,#3F5151
hspAfrica1WAfrica,#0b3e87
hspHAEAsiaN,#468B9F
hspHAEAsiaS,#B33C23
hspIndigenousNAmerica,#F2300F
hspIndigenousSAmerica,#f1ed00
hspLAEAChinaN,#b3ed91
hspLAEAChinaNS,#02401B
hspLAEAChinaS,#C77642
hspLAEAJapan,#E7892C
hspLASEAsia,#CCC49C
hspNEurope,#bd74ae
hspSEurope,#e4408a
hspSWEurope,#851b58
hspSWEuropeLatinAmerica,#b91631
hspUral,#44d1c5
